,ementa,acao
23,DISPÕE SOBRE “INSTITUIÇÃO DA COLETA SELETIVA NO ÂMBITO DO MUNICÍPIO DE MARABÁ” E DÁ OUTRAS PROVIDENCIAS.,Implantar coleta seletiva de resíduos no município.
24,"DISPÕE SOBRE A INSTITUIÇÃO, NO ÂMBITO DO MUNICIPIO DE MARABÁ, O PROGRAMA REMEDIAR EM CASA.",Criar o programa Remediar em Casa no município.
25,"DISPÕE SOBRE A DISPONIBILIZAÇÃO DE CONTÊINERES PÚBLICOS PARA A COLETA DE ENTULHOS E RESÍDUOS PROVENIENTES DE OBRAS E REFORMAS NO MUNICÍPIO, E DÁ OUTRAS PROVIDÊNCIAS.",Disponibilizar contêineres públicos para a coleta de entulhos e resíduos de obras e reformas no município.
26,"Programa de atendimento odontológico escolar no município de Marabá-PA, e dá outras providências",Criar programa de atendimento odontológico escolar no município.
27,Institui o Programa Municipal de Conscientização e Apoio às Famílias de Pacientes do CAPS e dá outras providências.,Criar programa municipal de conscientização e apoio às famílias de pacientes do CAPS.
28,"Institui o Programa de Desenvolvimento da Saúde mental e Inteligência Emocional, a ser desenvolvido nas escolas públicas da Rede Municipal de Ensino de Marabá e dá outras providências.",Criar programa de desenvolvimento da saúde mental e da inteligência emocional nas escolas públicas da rede municipal de ensino.
29,Institui a Politica Municipal de Proteção aos Direitos da Pessoa com Fibromialgia no Municipio de Marabá e dá outras providências.,Criar política municipal de proteção aos direitos da pessoa com fibromialgia no município.
30,"Altera a lei N° 17.455 de 30 de Maio de 2011, que institui o regime de plantão ativo aos servidores do departamento municipal de transporte urbano DMTU, e dá outras providências.",Alterar o regime de plantão ativo dos servidores do Departamento Municipal de Transporte Urbano (DMTU) previsto na Lei nº 17.455/2011.
31,Altera a lei N° 17.779 de 23 de Maio de 2017 para padronizar e equalizar os valores dos plantões dos servidores do GMM.,Padronizar e equalizar os valores dos plantões dos servidores da Guarda Municipal de Marabá (GMM).
32,Sugere ao Poder Executivo Municipal a criação de norma que disponha sobre a obrigatoriedade de clínicas neurológicas particulares situadas no município de Marabá disponibilizarem vagas mensais gratuitas para atendimento de pessoas com Transtorno do Espectro Autista (TEA).,Obrigar clínicas neurológicas particulares do município a disponibilizarem vagas mensais gratuitas para atendimento de pessoas com Transtorno do Espectro Autista (TEA).
33,"Sugere ao Poder Executivo Municipal a criação de Fundo Municipal de Oncologia (FMO) no município de Marabá e dá outras. A Câmara Municipal de Marabá, por iniciativa do Vereador Fernando Henrique Pereira da Silva no uso de suas atribuições legais, apresenta ao Poder Executivo o seguinte Anteprojeto de Lei:",Criar Fundo Municipal de Oncologia (FMO) no município.
34,"DISPÕE SOBRE A SUBSTITUIÇÃO GRADATIVA DE SIRENES E ALARMES CONVENCIONAIS POR SINALEIROS MUSICAIS EM INSTITUIÇÕES DE ENSINO, COM O OBJETIVO DE PROTEGER CRIANÇAS E ADOLESCENTES COM TRANSTORNO DO ESPECTRO AUTISTA (TEA) E DÁ OUTRAS PROVIDÊNCIAS.",Substituir gradativamente sirenes e alarmes convencionais por sinaleiros musicais em instituições de ensino para proteger crianças e adolescentes com Transtorno do Espectro Autista (TEA).
36,Altera a lei N° 17.982 de 18 de Junho de 2020 para padronizar e equalizar os valores dos plantões dos servidores do DMSP.,Padronizar e equalizar os valores dos plantões dos servidores do DMSP.
37,"Dispõe sobre a valorização e regulamentação das atividades dos Agentes de Trânsito no âmbito do Município de Marabá, e dá outras providências.",Valorizar e regulamentar as atividades dos agentes de trânsito no município.
38,"Dispõe sobre a valorização da Guarda Municipal no âmbito do município de Marabá, sem impacto financeiro ao Executivo Municipal.","Implementar medidas de valorização da Guarda Municipal no município, sem impacto financeiro ao Executivo."
39,Sugere ao Poder Executvo Municipal que dispõe sobre a que cria a equipe municipal de fiscalização do conselho tutelar no município de marabá e dá outras providências.,Criar equipe municipal de fiscalização do Conselho Tutelar no município.
40,"Sugere ao Poder Executvo Municipal que dispõe sobre a distribuição de cestas básicas para gestantes de baixa renda no município de marabá, estado do Pará, e dá outras providências.",Distribuir cestas básicas para gestantes de baixa renda no município.
41,"Sugere ao Poder Executvo Municipal que dispõe sobre a garanta de vagas em academias para mulheres de baixa renda e estudantes de escolas municipais no município de marabá, estado do Pará, com incentivo aos estabelecimentos participantes.","Garantir vagas em academias para mulheres de baixa renda e estudantes de escolas municipais no município, com incentivos aos estabelecimentos participantes."
42,04/2025 - DISPÕE SOBRE A CRIAÇÃO DE UMA CRECHE PARA IDOSOS NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar creche para idosos no município.
43,"DISPÕE SOBRE A IMPLANTAÇÃO DE SISTEMAS DE CAPTAÇÃO E INFILTRAÇÃO DE ÁGUAS CINZA EM VIAS PÚBLICAS E DOMICÍLIOS LOCALIZADOS EM ÁREAS SEM REDE DE ESGOTO NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Implantar sistemas de captação e infiltração de águas cinza em vias públicas e domicílios localizados em áreas sem rede de esgoto no município.
44,Dispõe sobre a capacitação de professores com a formação continuada com intuito da inclusão de alunos neurodivergentes com a implementação de palestras educativas nas escolas Municipais no Município de Marabá.,Capacitar professores por meio de formação continuada e palestras educativas nas escolas municipais para promover a inclusão de alunos neurodivergentes.
45,"Dispõe sobre a instituição de diretrizes para promoção de ambiente seguro e de escuta ativa no enfrentamento ao abuso e à exploração sexual de crianças e adolescentes na rede Municipal de ensino de Marabá, e dá outras providências.",Estabelecer diretrizes para promover ambiente seguro e de escuta ativa no enfrentamento ao abuso e à exploração sexual de crianças e adolescentes na rede municipal de ensino.
46,"Dispõe sobre a implementação de programa de reciclagem, tratamento de resíduos e ações de preservação da fauna e flora no Município de Marabá, e dá outras providências.","Implementar programa de reciclagem, tratamento de resíduos e ações de preservação da fauna e flora no município."
47,"DISPÕE SOBRE A INSTITUIÇÃO, NO ÂMBITO DO MUNICIPIO DE MARABÁ, O CORPO DE BOMBEIRO CIVIL MUNICIPAL, NOS TERMOS DA LEI FEDERAL Nº LEI 11.901, DE 12 DE JANEIRO DE 2.009 E PELA LEI 13.425 DE MARÇO DE 2017, CRIA O CARGO DE PROVIMENTO EFETIVO DE BOMBEIRO CIVIL MUNICIPAL, E DA OUTRAS PROVIDÊNCIAS.",Criar o Corpo de Bombeiro Civil Municipal e o cargo de provimento efetivo de bombeiro civil municipal.
48,"Institui o direito ao brincar, o brincar livre e a parentalidade positiva como estratégias intersetoriais de prevenção à violência contra crianças.","Implementar estratégias intersetoriais de prevenção à violência contra crianças baseadas no direito ao brincar, no brincar livre e na parentalidade positiva."
49,"Institui no Município de Marabá a Campanha “IPTU Verde”, que autoriza a concessão de descontos no IPTU como incentivo ao uso de tecnologias e medidas ambientais sustentáveis no Município.",Conceder descontos no IPTU para incentivar o uso de tecnologias e medidas ambientais sustentáveis no município por meio da campanha “IPTU Verde”.
50,CRIA O PROGRAMA TENDAS VIOLETAS PARA ACOLHIMENTO DAS VÍTIMAS DE VIOLÊNCIA SEXUAL EM EVENTO ARTÍSTICOS E CULTURAIS REALIZADOS EM ESPAÇOS PÚBLICOS NO MUNICÍPIO DE MARABÁ.,Criar o programa Tendas Violetas para acolher vítimas de violência sexual em eventos artísticos e culturais realizados em espaços públicos do município.
51,Sugere ao Poder Executivo Municipal a criação de programa intersetorial entre a secretaria municipal de saúde e a secretaria municipal de educação para atendimento psicológico mensal nas escolas municipais de marabá e dá outras providências,Criar programa intersetorial entre as secretarias municipais de Saúde e de Educação para oferecer atendimento psicológico mensal nas escolas municipais.
52,DISPÕE SOBRE A OBRIGATORIEDADE DO FORNECIMENTO DE FONES ANTIRRUÍDOS PARA PESSOAS COM TRANSTORNO DE ESPECTRO AUTISTA (TEA) E DÁ OUTRAS PROVIDÊNCIAS.,Garantir o fornecimento de fones antirruído para pessoas com Transtorno do Espectro Autista (TEA).
53,Dispõe sobre a implantação do projeto “Adote uma Praça” no Município de Marabá e dá outras providências.,Implantar o projeto “Adote uma Praça” no município.
54,"DISPÕE SOBRE A IMPLANTAÇÃO DA TELEMEDICINA NA REDE MUNICIPAL DE SAÚDE DO MUNICÍPIO DE MARABÁ, NO ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Implantar telemedicina na rede municipal de saúde do município.
55,"Dispõe sobre a criação de aplicativo de monitoramento em tempo real da frota de ônibus do transporte público coletivo no município de Marabá-PA, e dá outras providências.",Criar aplicativo para monitorar em tempo real a frota de ônibus do transporte público coletivo no município.
57,DISPÕE SOBRE A OBRIGATORIEDADE DE TREINAMENTO ESPECÍFICO PARA MOTORISTAS DE AMBULÂNCIA NO MUNICÍPIO DE MARABÁ/PA.,Implementar treinamento específico obrigatório para motoristas de ambulância no município.
58,Dispõe sobre a POLÍTICA DE PREVENÇÃO E COMBATE ÀS AMPUTAÇÕES EM PACIENTES DIABÉTICOS no Município de Marabá e dá outras providências.,Criar política de prevenção e combate às amputações em pacientes diabéticos no município.
59,DISPÕE SOBRE A DISPOSIÇÃO DE LIXEIRAS METÁLICAS MODELO BARCELONA EM TODA A ÁREA URBANA DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Instalar lixeiras metálicas modelo Barcelona em toda a área urbana do município.
60,"Sugere ao Poder Executivo Municipal a criação de Dispõe sobre a criação da Farmácia Veterinária Popular Municipal de Marabá, destinada à oferta de medicamentos básicos para animais domésticos a preços simbólicos, visando atender famílias de baixa renda, e dá outras providências.",Criar farmácia veterinária popular municipal para ofertar medicamentos básicos para animais domésticos a preços simbólicos para famílias de baixa renda.
61,Dispõe sobre a destinação de percentual de vagas de trabalho intermediadas pelo SINE Municipal de Marabá para mulheres em situação de violência doméstica e dá outras providências.,Reservar percentual de vagas de trabalho intermediadas pelo SINE municipal para mulheres em situação de violência doméstica.
63,DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA “BOLSA CULTURAL” NO ÂMBITO DO MUNICÍPIO DE MARABÁ-PA.,Criar o programa Bolsa Cultural no município.
64,"ALTERA A LEI N° 17.807, DE 13 DE NOVEMBRO DE 2017 QUE CRIA O CONSELHO MUNICIPAL DE JUVENTUDE - CMJ E O FUNDO MUNICIPAL DA JUVENTUDE - FUMJUV, DESTINADO A GERIR RECURSOS E FINANCIAR ATIVIDADES DO CONSELHO MUNICIPAL DE JUVENTUDE E DÁ OUTRAS PROVIDÊNCIAS",Alterar a Lei nº 17.807/2017 que cria o Conselho Municipal de Juventude (CMJ) e o Fundo Municipal da Juventude (FUMJUV).
65,"DISPÕE SOBRE A ABERTURA DE PROCESSO LICITATÓRIO PARA AQUISIÇÃO DE CONTÊINERES DE LIXO, BEM COMO SUA DEVIDA DISPOSIÇÃO EM TODA A ÁREA URBANA E RURAL DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Abrir processo licitatório para adquirir contêineres de lixo e instalá-los em toda a área urbana e rural do município.
66,"Institui no município de Marabá o projeto cultural “Vozes da Minha Terra – Show de Talentos”, voltado a estudantes das escolas municipais tendo como finalidade descobrir e valorizar talentos musicais entre os jovens, promovendo integração entre escolas e a comunidade local por meio de apresentações ao vivo.","Criar o projeto cultural “Vozes da Minha Terra – Show de Talentos” para descobrir e valorizar talentos musicais entre estudantes das escolas municipais, promovendo integração entre escolas e comunidade."
67,"Sugere ao Poder Executivo Municipal a criação do Programa “Marabá Conectada”, voltado para a inclusão digital de estudantes da zona rural e ao acesso comunitário à internet nas comunidades rurais do município de Marabá, e dá outras providências.",Criar o programa “Marabá Conectada” para promover inclusão digital de estudantes da zona rural e acesso comunitário à internet nas comunidades rurais.
68,"DISPÕE SOBRE A IMPLEMENTAÇÃO GRADATIVA DA HORA-ATIVIDADE DOS PROFISSIONAIS DO MAGISTÉRIO PÚBLICO MUNICIPAL, EM CUMPRIMENTO À LEI FEDERAL Nº 11.738/2008, E DÁ OUTRAS PROVIDÊNCIA","Implementar gradativamente a hora-atividade dos profissionais do magistério público municipal, em cumprimento à Lei Federal nº 11.738/2008."
69,"INSTITUI O SISTEMA MUNICIPAL DE ALERTAS POR SMS PARA NOTIFICAÇÃO GRATUITA DA POPULAÇÃO EM CASOS DE ENCHENTES, QUEIMADAS, DESASTRES NATURAIS OU SITUAÇÕES DE EMERGÊNCIA NO MUNICÍPIO DE MARABÁ, E DÁ OUTRA PROVIDÊNCIAS.","Criar sistema municipal de alertas por SMS para notificar gratuitamente a população em casos de enchentes, queimadas, desastres naturais ou outras situações de emergência."
70,Sugere ao Poder Executivo Municipal a criação do Programa Municipal de Cursinhos Pré-Vestibulares Gratuitos no Município de Marabá e dá outras providências.,Criar programa municipal de cursinhos pré-vestibulares gratuitos no município.
71,"INSTITUI O PROGRAMA ""E-SUSTENTÁVEL"" PARA O DESCARTE RESPONSÁVEL DE EQUIPAMENTOS ELETRÔNICOS NAS ESCOLAS MUNICIPAIS DE MARABÁ, ATENDENTO ÀS DIRETRIZES DA POLÍTICA NACIONAL DE RESÍDUOS SÓLIDOS (Lei n° 12.305/2010).","Criar o programa “E-Sustentável” para o descarte responsável de equipamentos eletrônicos nas escolas municipais, conforme a Política Nacional de Resíduos Sólidos."
72,"Dispõe sobre a garantia de tratamento gratuito para pessoas com obesidade, com fornecimento do medicamento Mounjaro (tirzepatida), no âmbito do Município de Marabá, e dá outras providências.","Garantir tratamento gratuito para pessoas com obesidade, incluindo fornecimento do medicamento Mounjaro (tirzepatida), no município."
73,"“INSTITUI, NO ÂMBITO DO MUNICÍPIO DE MARABÁ, A EQUIPE PERMANENTE DE MANUTENÇÃO DE PRAÇAS PÚBLICAS E LIMPEZA DE PARADAS DE ÔNIBUS, E DÁ OUTRAS PROVIDÊNCIAS.”",Criar equipe permanente de manutenção de praças públicas e limpeza de paradas de ônibus no município.
74,"Dispõe sobre a capacitação em Língua Brasileira de Sinais (Libras) para os servidores públicos municipais de Marabá, e dá outras providências.",Capacitar servidores públicos municipais em Língua Brasileira de Sinais (Libras).
75,"DISPÕE SOBRE A SOLICITAÇÃO DE INCLUSÃO E REGULARIZAÇÃO DE CÓDIGOS DE ENDEREÇAMENTO POSTAL (CEP) NOS BAIRROS E VILAS DO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS",Solicitar a inclusão e regularização de códigos de endereçamento postal (CEP) nos bairros e vilas do município.
77,"ANTEPROJETO DE LEI N° 001/2024 - “Assegura a reserva de vagas de estacionamento em Shoppings centers, estabelecimentos públicos e privados às pessoas doadoras regulares de sangue no âmbito do município de Marabá.",Reservar vagas de estacionamento em shoppings centers e estabelecimentos públicos e privados para doadores regulares de sangue no município.
78,ANTEPROJETO DE LEI N° 002/2024 - “Dispõe sobre a proibição do uso de celulares e outros dispositivos tecnológicos pelos alunos nas unidades escolares da rede municipal.”,Proibir o uso de celulares e outros dispositivos tecnológicos pelos alunos nas unidades escolares da rede municipal.
79,"“Dispõe sobre as normas de segurança e de manutenção em brinquedos de parques infantis localizados em áreas de uso coletivo, públicas ou privadas, e dá outras providencias.”.","Estabelecer normas de segurança e manutenção para brinquedos de parques infantis em áreas de uso coletivo, públicas ou privadas."
81,Cria o Programa Restaurante Popular no âmbito do município de Marabá/PA e dá outras providências.,Criar o programa Restaurante Popular no município.
83,Anteprojeto de Lei N°. 01/2024 - DISPÕE SOBRE A DOAÇÃO VOLUNTÁRIA DE MEDICAMENTOS E DAS OUTRAS PROVIDÊNCIAS.,Implementar programa de doação voluntária de medicamentos.
86,Dispõe sobre a divulgação de dados dos Conselhos Municipais na página oficial da Prefeitura Municipal de Marabá na rede mundial de computadores.,Divulgar dados dos conselhos municipais na página oficial da Prefeitura Municipal de Marabá na internet.
88,"“Dispõe sobre o direito de preferência na matrícula e na transferência na Rede Municipal de Ensino de Marabá, para crianças vítimas de enchentes e dá outras providências.”",Garantir direito de preferência na matrícula e na transferência na rede municipal de ensino para crianças vítimas de enchentes.
89,"Institui o “Programa Adote Uma Casinha em Ponto de Mototáxi”, no âmbito do município de Marabá.",Criar o programa “Adote Uma Casinha em Ponto de Mototáxi” no município.
90,CRIA O ABRIGO DE REABILITAÇÃO E TRATAMENTO PARA DEPENDENTES QUÍMICOS NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar abrigo de reabilitação e tratamento para dependentes químicos no município.
91,Dispõe sobre a realização do teste do miniexame do estado mental (MEEM) para avaliar a função cognitiva dos munícipes e identificar eventuais alterações neurológicas.”,Realizar o Miniexame do Estado Mental (MEEM) para avaliar a função cognitiva dos munícipes e identificar eventuais alterações neurológicas.
94,Cria o “Projeto Pomarização Urbana” no Município de Marabá e dá outras providências.,Criar o projeto “Pomarização Urbana” no município.
95,"“Dispõe sobre a obrigatoriedade de instalação de uma área que possibilite o uso emergencial pelos veículos de resgate à vida, nos parques, praças, espaços e obras públicas do Município de Marabá e dá outras providencias.","Instalar áreas que permitam o uso emergencial por veículos de resgate em parques, praças, espaços e obras públicas do município."
96,"Dispõe sobre a concessão de ""Vale Livro” a ser distribuído durante a Feira do Livro do Município de Marabá e dá outras providências.",Conceder vale-livro a ser distribuído durante a Feira do Livro do município.
97,“PROÍBE A COMERCIALIZAÇÃO E OU INSTALAÇÃO DE DISPOSITIVOS E OU SIMILARES QUE INTENSIFICAM POTENCIALMENTE O RUÍDO NOS ESCAPAMENTOS DE VEÍCULOS MOTOCICLÍSTICOS”,Proibir a comercialização e a instalação de dispositivos que intensifiquem o ruído nos escapamentos de veículos motociclisticos.
99,"CRIA A SECRETARIA MUNICIPAL DE INTERIOR E TRANSPORTES (SEMIT), E DÁ OUTRAS PROVIDÊNCIAS.",Criar a Secretaria Municipal de Interior e Transportes (SEMIT).
100,"Dispõe sobre a inclusão do símbolo Mundial de Autismo nas placas de atendimento preferencial, nos estabelecimentos públicos e privados no âmbito do Municipal de Marabá – Pa e dá outras providências.",Incluir o símbolo mundial do autismo nas placas de atendimento preferencial de estabelecimentos públicos e privados do município.
101,"“Dispõe sobre a isenção do Imposto Predial e Territorial Urbano (IPTU), aos imóveis lindeiros de áreas que detenham torres de energia elétrica e telefonia”.",Conceder isenção de IPTU aos imóveis lindeiros a áreas que possuam torres de energia elétrica e telefonia.
102,"“DISPÕE SOBRE A CONCESSÃO DA GRATIFICAÇÃO DE RISCO DE MORTE AOS AGENTES DE TRÂNSITO, AGENTES DE SEGURANÇA PATRIMONIAL E DA GUARDA MUNICIPAL, E DÁ OUTRAS PROVIDÊNCIAS”.","Conceder gratificação de risco de morte a agentes de trânsito, agentes de segurança patrimonial e guardas municipais."
103,"“DISPÕE SOBRE ISENÇÃO E REMISSÃO DO IMPOSTO PREDIAL E TERRITORIAL URBANO – IPTU INCIDENTE SOBRE IMÓVEIS OU PARCELA DE IMÓVEIS, ONDE HOUVER VEGETAÇÃO NATIVA OU REFLORESTAMENTO BEM COMO REDUÇÃO DE ALÍQUOTA PARA IMÓVEIS QUE CUMPRIREM A DIRETRIZES AMBIENTAIS E DE REGULARIZAÇÃO ESTABELECIDAS NESTA LEI.”",Conceder isenção ou remissão de IPTU para imóveis com vegetação nativa ou reflorestamento e reduzir a alíquota de IPTU para imóveis que cumprirem diretrizes ambientais e de regularização.
104,"“Institui o Corpo de Bombeiros Civil Municipal, nos termos da Lei Federal nº Lei 11.901, de 12 de janeiro de 2.009 e pela lei 13.425 de 30 de março de 2017, cria o cargo de provimento efetivo de bombeiro civil municipal, e dá outras providências"".",Criar o Corpo de Bombeiro Civil Municipal e o cargo de provimento efetivo de bombeiro civil municipal.
105,"DISPÕE SOBRE A DOAÇÃO DE KITS DE HIGIENE AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, A PARTIR DOS 11 ANOS DE IDADE, NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Distribuir kits de higiene a alunos da rede municipal de ensino a partir de 11 anos de idade.
106,“Dispõe sobre a política pública de desestimulo à existência de imóveis abandonados causadores de degradação urbana no Município de Marabá e dá outras providencias”.,Criar política pública para desestimular a existência de imóveis abandonados que causem degradação urbana no município.
107,"Dispõe sobre o programa “Exemplo no Esporte, Exemplo na Vida”, e contém outras providências.","Criar o programa “Exemplo no Esporte, Exemplo na Vida”."
108,"Dispõe sobre a distribuição gratuita de medidor contínuo de glicose (glicemia) aos portadores de Diabetes Tipo I, residentes no município de Marabá/PA.",Distribuir gratuitamente medidores contínuos de glicose a pessoas com diabetes tipo I residentes no município.
109,"ALTERA A LEI COMPLEMENTAR Nº 04/2021 ART. 171 E ACRESCENTA O ART. 171 – A QUE DISPÕE SOBRE A REDUÇÃO DA ALÍQUOTA DO IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA (ISS) PARA HOSPITAIS NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ.",Reduzir a alíquota do ISS para hospitais do município.
110,"INSTITUI O ATENDIMENTO DE ORTODONTIA PREVENTIVA NO ÂMBITO DO MUNÍCIPIO DE MARABÁ, ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Implantar atendimento de ortodontia preventiva no município.
111,"Dispõe sobre a criação de creches públicas de ensino em tempo integral, tendo como objetivo, atender as mães que necessitam desenvolver algum tipo de atividade remunerada, para obter ou complementar sua renda familiar.",Criar creches públicas de tempo integral para atender mães que necessitam desenvolver atividade remunerada para obter ou complementar renda.
112,Institui e regulamenta o serviço municipal de verificação de óbitos no Município de Marabá e dá outras providências.,Criar serviço municipal de verificação de óbitos.
113,"Dispõe sobre o reconhecimento do Beach Tennis como modalidade esportiva e institui, no calendário Oficial da Cidade de Marabá, o Dia Municipal de Beach Tennis.",Reconhecer o beach tennis como modalidade esportiva e incluir o Dia Municipal de Beach Tennis no calendário oficial da cidade.
114,"DISPÕE SOBRE A PRIORIDADE DE ATENDIMENTO PARA PESSOAS QUE REALIZAM TRATAMENTO DE QUIMIOTERAPIA, RADIOTERAPIA, HEMODIÁLISE OU UTILIZEM BOLSA DE COLOSTOMIA NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.","Garantir prioridade de atendimento para pessoas em tratamento de quimioterapia, radioterapia, hemodiálise ou que utilizem bolsa de colostomia no município."
115,"Dispõe sobre a concessão de auxílio financeiro às mulheres vítimas de violência doméstica, no município de Marabá e dá outras providências.",Conceder auxílio financeiro a mulheres vítimas de violência doméstica no município.
